Year,Revenue,Gross Profit,Operating Profit,Profit before taxation,Profit attributable to equity holders of the Company,Operating Expenses,EPS (US cents) - Basic
2024/25,"69,077","11,098","2,164","1,481","1,384","-8,934",11.3
2023/24,"56,864","9,803","2,006","1,366","1,011","-7,797",8.4
2022/23,"61,947","10,501","2,669","2,136","1,608","-7,832",13.5
2021/22,"71,618","12,049","3,081","2,768","2,030","-8,968",17.45
2020/21,"60,742","9,768","2,180","1,774","1,178","-7,587",9.54
2019/20,"50,716","8,357","1,439","1,018",665,"-6,918",5.58
2018/19,"51,038","7,371","1,178",856,597,"-6,193",5.01
2017/18,"45,350","6,272",387,153,-189,"-5,885",-1.67
